task,task_id,item_uid,trial_type,prompt,item,answer,response_alternatives,chance_level,prompt_phrase,prompt_image,full_prompt
egma-math,math,ns-number-identification-5,Non-symbolic Number Identification,Choose the card that shows 5 apples.,NA,5apples,"2apples, 7apples",0.33,5 apples,NA,"Choose the image that shows <prompt_phrase>. Answer with A, B, or C. <image1> <image2> <image3>"
egma-math,math,ns-number-identification-7,Non-symbolic Number Identification,Choose the card that shows 7 cars.,NA,7cars,"3cars, 9cars",0.33,7 cars,NA,"Choose the image that shows <prompt_phrase>. Answer with A, B, or C. <image1> <image2> <image3>"
egma-math,math,ns-number-identification-10,Non-symbolic Number Identification,Choose the card that shows 10 apples.,NA,10apples,"9apples, 8apples",0.33,10 apples,NA,"Choose the image that shows <prompt_phrase>. Answer with A, B, or C. <image1> <image2> <image3>"
egma-math,math,counting-3,Counting,How many cars is this?,3cars,Correct,Incorrect,NA,cars,3cars,<prompt_image> How many <prompt_phrase> is this? Answer with only a numeral.
egma-math,math,counting-5,Counting,How many apples is this?,5apples,Correct,Incorrect,NA,apples,5apples,<prompt_image> How many <prompt_phrase> is this? Answer with only a numeral.
egma-math,math,counting-7,Counting,How many cars is this?,7cars,Correct,Incorrect,NA,cars,7cars,<prompt_image> How many <prompt_phrase> is this? Answer with only a numeral.
egma-math,math,counting-4,Counting,How many apples is this?,10apples,Correct,Incorrect,NA,apples,10apples,<prompt_image> How many <prompt_phrase> is this? Answer with only a numeral.
egma-math,math,counting-10,Counting,How many cars is this?,9cars,Correct,Incorrect,NA,cars,9cars,<prompt_image> How many <prompt_phrase> is this? Answer with only a numeral.
egma-math,math,counting-afc-2,Counting AFC,How many apples is this?,2apples,2,8,0.33,apples,2apples,<prompt_image> How many <prompt_phrase> is this? Answer with A or B. A: <option1>; B: <option2>
egma-math,math,counting-afc-1,Counting AFC,How many cars is this?,1car,1,"4,6",0.33,cars,1car,<prompt_image> How many <prompt_phrase> is this? Answer with A or B. A: <option1>; B: <option2>
egma-math,math,counting-afc-4,Counting AFC,How many cars is this?,4cars,4,"1,2",0.33,cars,4cars,<prompt_image> How many <prompt_phrase> is this? Answer with A or B. A: <option1>; B: <option2>
egma-math,math,counting-afc-6,Counting AFC,How many apples is this?,6apples,6,"5,9",0.33,apples,6apples,<prompt_image> How many <prompt_phrase> is this? Answer with A or B. A: <option1>; B: <option2>
egma-math,math,counting-afc-8,Counting AFC,How many cars is this?,8cars,8,"3,7",0.33,cars,8cars,<prompt_image> How many <prompt_phrase> is this? Answer with A or B. A: <option1>; B: <option2>
egma-math,math,ns-num-comp-2,Non-symbolic Number Comparison,Which card has more apples?,NA,2apples,1apple,0.5,apples,NA,Which image has more <prompt_phrase>? Answer with A or B. A: <option1>; B: <option2>
egma-math,math,ns-num-comp-5,Non-symbolic Number Comparison,Which card has more cars?,NA,5cars,3cars,0.5,cars,NA,Which image has more <prompt_phrase>? Answer with A or B. A: <option1>; B: <option2>
egma-math,math,ns-num-comp-7,Non-symbolic Number Comparison,Which card has more apples?,NA,7apples,4apples,0.5,apples,NA,Which image has more <prompt_phrase>? Answer with A or B. A: <option1>; B: <option2>
egma-math,math,ns-num-comp-9,Non-symbolic Number Comparison,Which card has more apples?,NA,9apples,6apples,0.5,apples,NA,Which image has more <prompt_phrase>? Answer with A or B. A: <option1>; B: <option2>
egma-math,math,ns-num-comp-10,Non-symbolic Number Comparison,Which card has more cars?,NA,10cars,8cars,0.5,cars,NA,Which image has more <prompt_phrase>? Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_identify_1,Number Identification,Choose the 1.,1,1,"6,9,7",0.33,1,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_3,Number Identification,Choose the 3.,3,3,"6,2,11",0.33,3,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_6,Number Identification,Choose the 6.,6,6,"9,15,5",0.25,6,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_9,Number Identification,Choose the 9.,9,9,"0,8,3",0.25,9,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_identify_12,Number Identification,Choose the number you hear.,12,12,"6,11,21",0.25,12,NA,"Choose the same number: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,num-comp-2,Number Comparison,Which is larger?,"1,2",2,1,0.5,NA,NA,Choose which is larger. Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_compare_6_4,Number Comparison,Which is larger?,"6, 4",6,4,0.5,NA,NA,Choose which is larger. Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_compare_7_5,Number Comparison,Which is larger?,"7, 5",8,5,0.5,NA,NA,Choose which is larger. Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_compare_10_12,Number Comparison,Which is larger?,"10, 12",12,10,0.5,NA,NA,Choose which is larger. Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_compare_11_24,Number Comparison,Which is larger?,"11, 24",24,11,0.5,NA,NA,Choose which is larger. Answer with A or B. A: <option1>; B: <option2>
egma-math,math,math_add_1_1,Addition,Add the numbers and choose the correct answer.,1+1,2,"0,1,3",0.25,1+1,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_2_2,Addition,Add the numbers and choose the correct answer.,2+2,4,"5,2,0",0.25,2+2,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_1_3,Addition,Add the numbers and choose the correct answer.,1+3,4,"5,6,2",0.25,1+3,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_2_3,Addition,Add the numbers.,2+3,5,"7,6,4",0.25,2+3,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
egma-math,math,math_add_6_2,Addition,Add the numbers.,6+2,8,"9,7,12",0.25,6+2,NA,"Add the numbers and choose the correct answer: <prompt_phrase>. Answer with A, B, C, or D. A: <option1>; B: <option2>; C: <option3>; D: <option4>"
matrix-reasoning,matrix,tf3_1_M_ss1,practice,See this big puzzle? It's missing a piece! Which piece goes in the puzzle?,tf3_1_M_ss1,tf3_1_T1_ss1_md,"tf3_1_T4_ss1_md,tf3_1_T2_ss1_md,tf3_1_T3_ss1_md",0.25,NA,tf3_1_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat2,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_2_M_ss2,tf3_2_T1_ss2_md,"tf3_2_T4_ss2_md,tf3_2_T2_ss2_md,tf3_2_T3_ss2_md",0.25,NA,tf3_2_M_ss2,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat3,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_3_M_ss3,tf3_3_T1_ss3_md,"tf3_3_T4_ss3_md,tf3_3_T2_ss3_md,tf3_3_T3_ss3_md",0.25,NA,tf3_3_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat4,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_4_M_ss1,tf3_4_T1_ss1_pd,"tf3_4_T2_ss1_md,tf3_4_T4_ss1_md,tf3_4_T3_ss1_md",0.25,NA,tf3_4_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat5,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_5_M_ss2,tf3_5_T1_ss2_md,"tf3_5_T4_ss2_md,tf3_5_T2_ss2_md,tf3_5_T3_ss2_md",0.25,NA,tf3_5_M_ss2,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat6,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_6_M_ss3,tf3_6_T1_ss3_pd,"tf3_6_T2_ss3_md,tf3_6_T4_ss3_md,tf3_6_T3_ss3_md",0.25,NA,tf3_6_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat7,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_7_M_ss1,tf3_7_T1_ss1_pd,"tf3_7_T4_ss1_md,tf3_7_T2_ss1_md,tf3_7_T3_ss1_md",0.25,NA,tf3_7_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat8,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_8_M_ss2,tf3_8_T1_ss2_pd,"tf3_8_T2_ss2_md,tf3_8_T4_ss2_md,tf3_8_T3_ss2_md",0.25,NA,tf3_8_M_ss2,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat9,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_9_M_ss3,tf3_9_T1_ss3_pd,"tf3_9_T2_ss3_md,tf3_9_T4_ss3_md,tf3_9_T3_ss3_md",0.25,NA,tf3_9_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat10,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_10_M_ss1,tf3_10_T1_ss1_md,"tf3_10_T3_ss1_md,tf3_10_T2_ss1_md,tf3_10_T4_ss1_md",0.25,NA,tf3_10_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat12,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_12_M_ss3,tf3_12_T1_ss3_md,"tf3_12_T3_ss3_md,tf3_12_T2_ss3_md,tf3_12_T4_ss3_md",0.25,NA,tf3_12_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat13,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_13_M_ss1,tf3_13_T1_ss1_md,"tf3_13_T3_ss1_md,tf3_13_T4_ss1_md,tf3_13_T2_ss1_md",0.25,NA,tf3_13_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat16,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_16_M_ss1,tf3_16_T1_ss1_pd,"tf3_16_T3_ss1_md,tf3_16_T2_ss1_md,tf3_16_T4_ss1_md",0.25,NA,tf3_16_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat72,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_72_M_ss3,tf3_72_T1_ss3_md,"tf3_72_T3_ss3_md,tf3_72_T4_ss3_md,tf3_72_T2_ss3_md",0.25,NA,tf3_72_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat27,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_27_M_ss3,tf3_27_T1_ss3_md,"tf3_27_T4_ss3_md,tf3_27_T2_ss3_md,tf3_27_T3_ss3_md",0.25,NA,tf3_27_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat52,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_52_M_ss1,tf3_52_T1_ss1_pd,"tf3_52_T4_ss1_md,tf3_52_T2_ss1_md,tf3_52_T3_ss1_md",0.25,NA,tf3_52_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat77,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_77_M_ss2,tf3_77_T1_ss2_md,"tf3_77_T3_ss2_md,tf3_77_T2_ss2_md,tf3_77_T4_ss2_md",0.25,NA,tf3_77_M_ss2,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat48,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_48_M_ss3,tf3_48_T1_ss3_md,"tf3_48_T2_ss3_md,tf3_48_T4_ss3_md,tf3_48_T3_ss3_md",0.25,NA,tf3_48_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat43,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_43_M_ss1,tf3_43_T1_ss1_pd,"tf3_43_T2_ss1_md,tf3_43_T4_ss1_md,tf3_43_T3_ss1_md",0.25,NA,tf3_43_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat36,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_36_M_ss3,tf3_36_T1_ss3_md,"tf3_36_T2_ss3_md,tf3_36_T4_ss3_md,tf3_36_T3_ss3_md",0.25,NA,tf3_36_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat63,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_63_M_ss3,tf3_63_T1_ss3_md,"tf3_63_T3_ss3_md,tf3_63_T2_ss3_md,tf3_63_T4_ss3_md",0.25,NA,tf3_63_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat54,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_54_M_ss3,tf3_54_T1_ss3_pd,"tf3_54_T2_ss3_md,tf3_54_T4_ss3_md,tf3_54_T3_ss3_md",0.25,NA,tf3_54_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat18,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_18_M_ss3,tf3_18_T1_ss3_pd,"tf3_18_T3_ss3_md,tf3_18_T4_ss3_md,tf3_18_T2_ss3_md",0.25,NA,tf3_18_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat46,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_46_M_ss1,tf3_46_T1_ss1_md,"tf3_46_T4_ss1_md,tf3_46_T2_ss1_md,tf3_46_T3_ss1_md",0.25,NA,tf3_46_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat80,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_80_M_ss2,tf3_80_T1_ss2_md,"tf3_80_T3_ss2_md,tf3_80_T2_ss2_md,tf3_80_T4_ss2_md",0.25,NA,tf3_80_M_ss2,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat33,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_33_M_ss3,tf3_33_T1_ss3_pd,"tf3_33_T4_ss3_md,tf3_33_T2_ss3_md,tf3_33_T3_ss3_md",0.25,NA,tf3_33_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat45,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_45_M_ss3,tf3_45_T1_ss3_pd,"tf3_45_T4_ss3_md,tf3_45_T2_ss3_md,tf3_45_T3_ss3_md",0.25,NA,tf3_45_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat51,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_51_M_ss3,tf3_51_T1_ss3_md,"tf3_51_T4_ss3_md,tf3_51_T2_ss3_md,tf3_51_T3_ss3_md",0.25,NA,tf3_51_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat66,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_66_M_ss3,tf3_66_T1_ss3_pd,"tf3_66_T3_ss3_md,tf3_66_T4_ss3_md,tf3_66_T2_ss3_md",0.25,NA,tf3_66_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat59,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_59_M_ss2,tf3_59_T1_ss2_pd,"tf3_59_T4_ss2_md,tf3_59_T2_ss2_md,tf3_59_T3_ss2_md",0.25,NA,tf3_59_M_ss2,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat15,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_15_M_ss3,tf3_15_T1_ss3_md,"tf3_15_T3_ss3_md,tf3_15_T2_ss3_md,tf3_15_T4_ss3_md",0.25,NA,tf3_15_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat20,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_20_M_ss2,tf3_20_T1_ss2_pd,"tf3_20_T4_ss2_md,tf3_20_T2_ss2_md,tf3_20_T3_ss2_md",0.25,NA,tf3_20_M_ss2,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat17,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_17_M_ss2,tf3_17_T1_ss2_md,"tf3_17_T3_ss2_md,tf3_17_T4_ss2_md,tf3_17_T2_ss2_md",0.25,NA,tf3_17_M_ss2,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat67,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_67_M_ss1,tf3_67_T1_ss1_pd,"tf3_67_T3_ss1_md,tf3_67_T2_ss1_md,tf3_67_T4_ss1_md",0.25,NA,tf3_67_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat39,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_39_M_ss3,tf3_39_T1_ss3_md,"tf3_39_T2_ss3_md,tf3_39_T4_ss3_md,tf3_39_T3_ss3_md",0.25,NA,tf3_39_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat79,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_79_M_ss1,tf3_79_T1_ss1_pd,"tf3_79_T3_ss1_md,tf3_79_T4_ss1_md,tf3_79_T2_ss1_md",0.25,NA,tf3_79_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat19,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_19_M_ss1,tf3_19_T1_ss1_pd,"tf3_19_T3_ss1_md,tf3_19_T2_ss1_md,tf3_19_T4_ss1_md",0.25,NA,tf3_19_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat53,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_53_M_ss2,tf3_53_T1_ss2_md,"tf3_53_T2_ss2_md,tf3_53_T4_ss2_md,tf3_53_T3_ss2_md",0.25,NA,tf3_53_M_ss2,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat76,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_76_M_ss1,tf3_76_T1_ss1_pd,"tf3_76_T3_ss1_md,tf3_76_T4_ss1_md,tf3_76_T2_ss1_md",0.25,NA,tf3_76_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat58,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_58_M_ss1,tf3_58_T1_ss1_md,"tf3_58_T2_ss1_md,tf3_58_T4_ss1_md,tf3_58_T3_ss1_md",0.25,NA,tf3_58_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat56,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_56_M_ss2,tf3_56_T1_ss2_pd,"tf3_56_T4_ss2_md,tf3_56_T2_ss2_md,tf3_56_T3_ss2_md",0.25,NA,tf3_56_M_ss2,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat73,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_73_M_ss1,tf3_73_T1_ss1_md,"tf3_73_T3_ss1_md,tf3_73_T2_ss1_md,tf3_73_T4_ss1_md",0.25,NA,tf3_73_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat78,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_78_M_ss3,tf3_78_T1_ss3_pd,"tf3_78_T3_ss3_md,tf3_78_T2_ss3_md,tf3_78_T4_ss3_md",0.25,NA,tf3_78_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat69,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_69_M_ss3,tf3_69_T1_ss3_pd,"tf3_69_T3_ss3_md,tf3_69_T4_ss3_md,tf3_69_T2_ss3_md",0.25,NA,tf3_69_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat55,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_55_M_ss1,tf3_55_T1_ss1_pd,"tf3_55_T4_ss1_md,tf3_55_T2_ss1_md,tf3_55_T3_ss1_md",0.25,NA,tf3_55_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat37,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_37_M_ss1,tf3_37_T1_ss1_md,"tf3_37_T4_ss1_md,tf3_37_T2_ss1_md,tf3_37_T3_ss1_md",0.25,NA,tf3_37_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat47,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_47_M_ss2,tf3_47_T1_ss2_pd,"tf3_47_T2_ss2_md,tf3_47_T4_ss2_md,tf3_47_T3_ss2_md",0.25,NA,tf3_47_M_ss2,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_pd_mat42,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_42_M_ss3,tf3_42_T1_ss3_pd,"tf3_42_T4_ss3_md,tf3_42_T2_ss3_md,tf3_42_T3_ss3_md",0.25,NA,tf3_42_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat75,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_75_M_ss3,tf3_75_T1_ss3_md,"tf3_75_T3_ss3_md,tf3_75_T4_ss3_md,tf3_75_T2_ss3_md",0.25,NA,tf3_75_M_ss3,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
matrix-reasoning,matrix,matrix_set3_md_mat49,Matrix Reasoning,Choose the best pattern to fill in the blank.,tf3_49_M_ss1,tf3_49_T1_ss1_md,"tf3_49_T4_ss1_md,tf3_49_T2_ss1_md,tf3_49_T3_ss1_md",0.25,NA,tf3_49_M_ss1,"<prompt_image> Choose the best option to fill in the blank. Answer with A, B, C, or D. A: <image1>; B: <image2>; C: <image3>; D: <image4>"
