item_uid,answer,distractors,gold_letter,gold_quadrant,A_top_left_term,B_top_right_term,C_bottom_left_term,D_bottom_right_term,A_top_left_src,B_top_right_src,C_bottom_left_src,D_bottom_right_src,composite_path
vocab__trumpet,trumpet,flute|violin|coleslaw,C,bottom-left,flute,violin,trumpet,coleslaw,data/assets/2026-03-24/visual/vocab/flute.webp,data/assets/2026-03-24/visual/vocab/violin.webp,data/assets/2026-03-24/visual/vocab/trumpet.webp,data/assets/2026-03-24/visual/vocab/coleslaw.webp,local_data/vocab_graphics/images/vocab__trumpet.png
vocab__tulip,tulip,glove|rose|hubcap,D,bottom-right,hubcap,rose,glove,tulip,data/assets/2026-03-24/visual/vocab/hubcap.webp,data/assets/2026-03-24/visual/vocab/rose.webp,data/assets/2026-03-24/visual/vocab/glove.webp,data/assets/2026-03-24/visual/vocab/tulip.webp,local_data/vocab_graphics/images/vocab__tulip.png
vocab__turbine,turbine,generator|tab|pesto,C,bottom-left,pesto,generator,turbine,tab,data/assets/2026-03-24/visual/vocab/pesto.webp,data/assets/2026-03-24/visual/vocab/generator.webp,data/assets/2026-03-24/visual/vocab/turbine.webp,data/assets/2026-03-24/visual/vocab/tab.webp,local_data/vocab_graphics/images/vocab__turbine.png
vocab__turkey,turkey,goat|swan|pencil,C,bottom-left,goat,pencil,turkey,swan,data/assets/2026-03-24/visual/vocab/goat.webp,data/assets/2026-03-24/visual/vocab/pencil.webp,data/assets/2026-03-24/visual/vocab/turkey.webp,data/assets/2026-03-24/visual/vocab/swan.webp,local_data/vocab_graphics/images/vocab__turkey.png
vocab__turtle,turtle,frog|horse|railing,A,top-left,turtle,horse,railing,frog,data/assets/2026-03-24/visual/vocab/turtle.webp,data/assets/2026-03-24/visual/vocab/horse.webp,data/assets/2026-03-24/visual/vocab/railing.webp,data/assets/2026-03-24/visual/vocab/frog.webp,local_data/vocab_graphics/images/vocab__turtle.png
vocab__typewriter,typewriter,printer|sunglasses|drumstick,C,bottom-left,sunglasses,printer,typewriter,drumstick,data/assets/2026-03-24/visual/vocab/sunglasses.webp,data/assets/2026-03-24/visual/vocab/printer.webp,data/assets/2026-03-24/visual/vocab/typewriter.webp,data/assets/2026-03-24/visual/vocab/drumstick.webp,local_data/vocab_graphics/images/vocab__typewriter.png
vocab__watermelon,watermelon,screwdriver|strawberry|crane,A,top-left,watermelon,screwdriver,strawberry,crane,data/assets/2026-03-24/visual/vocab/watermelon.webp,data/assets/2026-03-24/visual/vocab/screwdriver.webp,data/assets/2026-03-24/visual/vocab/strawberry.webp,data/assets/2026-03-24/visual/vocab/crane.webp,local_data/vocab_graphics/images/vocab__watermelon.png
vocab__waterwheel,waterwheel,pinwheel|target|boa,A,top-left,waterwheel,boa,target,pinwheel,data/assets/2026-03-24/visual/vocab/waterwheel.webp,data/assets/2026-03-24/visual/vocab/boa.webp,data/assets/2026-03-24/visual/vocab/target.webp,data/assets/2026-03-24/visual/vocab/pinwheel.webp,local_data/vocab_graphics/images/vocab__waterwheel.png
vocab__ant,ant,muffin|raspberry|mint,C,bottom-left,raspberry,mint,ant,muffin,data/assets/2026-03-24/visual/vocab/raspberry.webp,data/assets/2026-03-24/visual/vocab/mint.webp,data/assets/2026-03-24/visual/vocab/ant.webp,data/assets/2026-03-24/visual/vocab/muffin.webp,local_data/vocab_graphics/images/vocab__ant.png
vocab__ball,ball,pen|peach|snack,A,top-left,ball,snack,peach,pen,data/assets/2026-03-24/visual/vocab/ball.webp,data/assets/2026-03-24/visual/vocab/snack.webp,data/assets/2026-03-24/visual/vocab/peach.webp,data/assets/2026-03-24/visual/vocab/pen.webp,local_data/vocab_graphics/images/vocab__ball.png
vocab__bear,bear,mirror|saw|bell,C,bottom-left,bell,saw,bear,mirror,data/assets/2026-03-24/visual/vocab/bell.webp,data/assets/2026-03-24/visual/vocab/saw.webp,data/assets/2026-03-24/visual/vocab/bear.webp,data/assets/2026-03-24/visual/vocab/mirror.webp,local_data/vocab_graphics/images/vocab__bear.png
vocab__duck,duck,tongue|ladder|snake,B,top-right,ladder,duck,tongue,snake,data/assets/2026-03-24/visual/vocab/ladder.webp,data/assets/2026-03-24/visual/vocab/duck.webp,data/assets/2026-03-24/visual/vocab/tongue.webp,data/assets/2026-03-24/visual/vocab/snake.webp,local_data/vocab_graphics/images/vocab__duck.png
vocab__fork,fork,crow|wagon|bead,D,bottom-right,wagon,bead,crow,fork,data/assets/2026-03-24/visual/vocab/wagon.webp,data/assets/2026-03-24/visual/vocab/bead.webp,data/assets/2026-03-24/visual/vocab/crow.webp,data/assets/2026-03-24/visual/vocab/fork.webp,local_data/vocab_graphics/images/vocab__fork.png
vocab__kitten,kitten,wrist|pillow|mattress,D,bottom-right,mattress,pillow,wrist,kitten,data/assets/2026-03-24/visual/vocab/mattress.webp,data/assets/2026-03-24/visual/vocab/pillow.webp,data/assets/2026-03-24/visual/vocab/wrist.webp,data/assets/2026-03-24/visual/vocab/kitten.webp,local_data/vocab_graphics/images/vocab__kitten.png
vocab__knee,knee,face|leash|sock,C,bottom-left,sock,face,knee,leash,data/assets/2026-03-24/visual/vocab/sock.webp,data/assets/2026-03-24/visual/vocab/face.webp,data/assets/2026-03-24/visual/vocab/knee.webp,data/assets/2026-03-24/visual/vocab/leash.webp,local_data/vocab_graphics/images/vocab__knee.png
vocab__milkshake,milkshake,pan|needle|gate,A,top-left,milkshake,pan,needle,gate,data/assets/2026-03-24/visual/vocab/milkshake.webp,data/assets/2026-03-24/visual/vocab/pan.webp,data/assets/2026-03-24/visual/vocab/needle.webp,data/assets/2026-03-24/visual/vocab/gate.webp,local_data/vocab_graphics/images/vocab__milkshake.png
vocab__skin,skin,cardboard|drum|clock,A,top-left,skin,cardboard,clock,drum,data/assets/2026-03-24/visual/vocab/skin.webp,data/assets/2026-03-24/visual/vocab/cardboard.webp,data/assets/2026-03-24/visual/vocab/clock.webp,data/assets/2026-03-24/visual/vocab/drum.webp,local_data/vocab_graphics/images/vocab__skin.png
vocab__wall,wall,knob|sponge|robot,C,bottom-left,knob,robot,wall,sponge,data/assets/2026-03-24/visual/vocab/knob.webp,data/assets/2026-03-24/visual/vocab/robot.webp,data/assets/2026-03-24/visual/vocab/wall.webp,data/assets/2026-03-24/visual/vocab/sponge.webp,local_data/vocab_graphics/images/vocab__wall.png
vocab__wheel,wheel,fish|bowl|meat,B,top-right,fish,wheel,meat,bowl,data/assets/2026-03-24/visual/vocab/fish.webp,data/assets/2026-03-24/visual/vocab/wheel.webp,data/assets/2026-03-24/visual/vocab/meat.webp,data/assets/2026-03-24/visual/vocab/bowl.webp,local_data/vocab_graphics/images/vocab__wheel.png
vocab__farm,farm,zoo|park|forest,A,top-left,farm,zoo,forest,park,data/assets/2026-03-24/visual/vocab/farm.webp,data/assets/2026-03-24/visual/vocab/zoo.webp,data/assets/2026-03-24/visual/vocab/forest.webp,data/assets/2026-03-24/visual/vocab/park.webp,local_data/vocab_graphics/images/vocab__farm.png
vocab__juggling,juggling,running|biking|playing,B,top-right,running,juggling,playing,biking,data/assets/2026-03-24/visual/vocab/running.webp,data/assets/2026-03-24/visual/vocab/juggling.webp,data/assets/2026-03-24/visual/vocab/playing.webp,data/assets/2026-03-24/visual/vocab/biking.webp,local_data/vocab_graphics/images/vocab__juggling.png
vocab__dressing,dressing,juice|ketchup|flour,A,top-left,dressing,ketchup,flour,juice,data/assets/2026-03-24/visual/vocab/dressing.webp,data/assets/2026-03-24/visual/vocab/ketchup.webp,data/assets/2026-03-24/visual/vocab/flour.webp,data/assets/2026-03-24/visual/vocab/juice.webp,local_data/vocab_graphics/images/vocab__dressing.png
vocab__roof,roof,stairs|door|fence,C,bottom-left,door,fence,roof,stairs,data/assets/2026-03-24/visual/vocab/door.webp,data/assets/2026-03-24/visual/vocab/fence.webp,data/assets/2026-03-24/visual/vocab/roof.webp,data/assets/2026-03-24/visual/vocab/stairs.webp,local_data/vocab_graphics/images/vocab__roof.png
vocab__peeking,peeking,reading|playing|surfing,C,bottom-left,surfing,playing,peeking,reading,data/assets/2026-03-24/visual/vocab/surfing.webp,data/assets/2026-03-24/visual/vocab/playing.webp,data/assets/2026-03-24/visual/vocab/peeking.webp,data/assets/2026-03-24/visual/vocab/reading.webp,local_data/vocab_graphics/images/vocab__peeking.png
vocab__ruler,ruler,measuringtape|compass|caliper,D,bottom-right,compass,caliper,measuringtape,ruler,data/assets/2026-03-24/visual/vocab/compass.webp,data/assets/2026-03-24/visual/vocab/caliper.webp,data/assets/2026-03-24/visual/vocab/measuringtape.webp,data/assets/2026-03-24/visual/vocab/ruler.webp,local_data/vocab_graphics/images/vocab__ruler.png
vocab__tunnel,tunnel,pathway|waterway|cavern,C,bottom-left,pathway,cavern,tunnel,waterway,data/assets/2026-03-24/visual/vocab/pathway.webp,data/assets/2026-03-24/visual/vocab/cavern.webp,data/assets/2026-03-24/visual/vocab/tunnel.webp,data/assets/2026-03-24/visual/vocab/waterway.webp,local_data/vocab_graphics/images/vocab__tunnel.png
vocab__envelope,envelope,checkbook|stamp|notecard,A,top-left,envelope,stamp,notecard,checkbook,data/assets/2026-03-24/visual/vocab/envelope.webp,data/assets/2026-03-24/visual/vocab/stamp.webp,data/assets/2026-03-24/visual/vocab/notecard.webp,data/assets/2026-03-24/visual/vocab/checkbook.webp,local_data/vocab_graphics/images/vocab__envelope.png
vocab__diamond,diamond,ring|emerald|amethyst,B,top-right,amethyst,diamond,emerald,ring,data/assets/2026-03-24/visual/vocab/amethyst.webp,data/assets/2026-03-24/visual/vocab/diamond.webp,data/assets/2026-03-24/visual/vocab/emerald.webp,data/assets/2026-03-24/visual/vocab/ring.webp,local_data/vocab_graphics/images/vocab__diamond.png
vocab__calendar,calendar,hourglass|sundial|notebook,B,top-right,hourglass,calendar,sundial,notebook,data/assets/2026-03-24/visual/vocab/hourglass.webp,data/assets/2026-03-24/visual/vocab/calendar.webp,data/assets/2026-03-24/visual/vocab/sundial.webp,data/assets/2026-03-24/visual/vocab/notebook.webp,local_data/vocab_graphics/images/vocab__calendar.png
vocab__panda,panda,koala|pig|zebra,C,bottom-left,pig,zebra,panda,koala,data/assets/2026-03-24/visual/vocab/pig.webp,data/assets/2026-03-24/visual/vocab/zebra.webp,data/assets/2026-03-24/visual/vocab/panda.webp,data/assets/2026-03-24/visual/vocab/koala.webp,local_data/vocab_graphics/images/vocab__panda.png
vocab__arrow,arrow,bow|feather|stick,B,top-right,bow,arrow,stick,feather,data/assets/2026-03-24/visual/vocab/bow.webp,data/assets/2026-03-24/visual/vocab/arrow.webp,data/assets/2026-03-24/visual/vocab/stick.webp,data/assets/2026-03-24/visual/vocab/feather.webp,local_data/vocab_graphics/images/vocab__arrow.png
vocab__picking,picking,jumping|dancing|kneading,B,top-right,jumping,picking,dancing,kneading,data/assets/2026-03-24/visual/vocab/jumping.webp,data/assets/2026-03-24/visual/vocab/picking.webp,data/assets/2026-03-24/visual/vocab/dancing.webp,data/assets/2026-03-24/visual/vocab/kneading.webp,local_data/vocab_graphics/images/vocab__picking.png
vocab__dripping,dripping,pouring|flowing|splashing,D,bottom-right,splashing,flowing,pouring,dripping,data/assets/2026-03-24/visual/vocab/splashing.webp,data/assets/2026-03-24/visual/vocab/flowing.webp,data/assets/2026-03-24/visual/vocab/pouring.webp,data/assets/2026-03-24/visual/vocab/dripping.webp,local_data/vocab_graphics/images/vocab__dripping.png
vocab__knight,knight,pirate|king|astronaut,A,top-left,knight,king,astronaut,pirate,data/assets/2026-03-24/visual/vocab/knight.webp,data/assets/2026-03-24/visual/vocab/king.webp,data/assets/2026-03-24/visual/vocab/astronaut.webp,data/assets/2026-03-24/visual/vocab/pirate.webp,local_data/vocab_graphics/images/vocab__knight.png
vocab__delivering,delivering,opening|building|connecting,B,top-right,connecting,delivering,building,opening,data/assets/2026-03-24/visual/vocab/connecting.webp,data/assets/2026-03-24/visual/vocab/delivering.webp,data/assets/2026-03-24/visual/vocab/building.webp,data/assets/2026-03-24/visual/vocab/opening.webp,local_data/vocab_graphics/images/vocab__delivering.png
vocab__dentist,dentist,doctor|pharmacist|scientist,A,top-left,dentist,doctor,pharmacist,scientist,data/assets/2026-03-24/visual/vocab/dentist.webp,data/assets/2026-03-24/visual/vocab/doctor.webp,data/assets/2026-03-24/visual/vocab/pharmacist.webp,data/assets/2026-03-24/visual/vocab/scientist.webp,local_data/vocab_graphics/images/vocab__dentist.png
vocab__claw,claw,hook|pincer|hammer,B,top-right,pincer,claw,hook,hammer,data/assets/2026-03-24/visual/vocab/pincer.webp,data/assets/2026-03-24/visual/vocab/claw.webp,data/assets/2026-03-24/visual/vocab/hook.webp,data/assets/2026-03-24/visual/vocab/hammer.webp,local_data/vocab_graphics/images/vocab__claw.png
vocab__uniform,uniform,costume|suit|dress,D,bottom-right,costume,dress,suit,uniform,data/assets/2026-03-24/visual/vocab/costume.webp,data/assets/2026-03-24/visual/vocab/dress.webp,data/assets/2026-03-24/visual/vocab/suit.webp,data/assets/2026-03-24/visual/vocab/uniform.webp,local_data/vocab_graphics/images/vocab__uniform.png
vocab__furry,furry,hairy|fluffy|silky,C,bottom-left,fluffy,silky,furry,hairy,data/assets/2026-03-24/visual/vocab/fluffy.webp,data/assets/2026-03-24/visual/vocab/silky.webp,data/assets/2026-03-24/visual/vocab/furry.webp,data/assets/2026-03-24/visual/vocab/hairy.webp,local_data/vocab_graphics/images/vocab__furry.png
vocab__cormorant,cormorant,eel|narwhal|turtle,D,bottom-right,turtle,narwhal,eel,cormorant,data/assets/2026-03-24/visual/vocab/turtle.webp,data/assets/2026-03-24/visual/vocab/narwhal.webp,data/assets/2026-03-24/visual/vocab/eel.webp,data/assets/2026-03-24/visual/vocab/cormorant.webp,local_data/vocab_graphics/images/vocab__cormorant.png
vocab__fetch,fetch,jump|fight|sit,B,top-right,jump,fetch,sit,fight,data/assets/2026-03-24/visual/vocab/jump.webp,data/assets/2026-03-24/visual/vocab/fetch.webp,data/assets/2026-03-24/visual/vocab/sit.webp,data/assets/2026-03-24/visual/vocab/fight.webp,local_data/vocab_graphics/images/vocab__fetch.png
vocab__arcade,arcade,bellows|highvoltage|pier,B,top-right,bellows,arcade,pier,highvoltage,data/assets/2026-03-24/visual/vocab/bellows.webp,data/assets/2026-03-24/visual/vocab/arcade.webp,data/assets/2026-03-24/visual/vocab/pier.webp,data/assets/2026-03-24/visual/vocab/highvoltage.webp,local_data/vocab_graphics/images/vocab__arcade.png
vocab__artifact,artifact,honeycomb|crystal|herringbone,D,bottom-right,herringbone,crystal,honeycomb,artifact,data/assets/2026-03-24/visual/vocab/herringbone.webp,data/assets/2026-03-24/visual/vocab/crystal.webp,data/assets/2026-03-24/visual/vocab/honeycomb.webp,data/assets/2026-03-24/visual/vocab/artifact.webp,local_data/vocab_graphics/images/vocab__artifact.png
vocab__aversion,aversion,dull|neutral|delighted,A,top-left,aversion,neutral,dull,delighted,data/assets/2026-03-24/visual/vocab/aversion.webp,data/assets/2026-03-24/visual/vocab/neutral.webp,data/assets/2026-03-24/visual/vocab/dull.webp,data/assets/2026-03-24/visual/vocab/delighted.webp,local_data/vocab_graphics/images/vocab__aversion.png
vocab__beret,beret,hat|chefshat|safarihat,D,bottom-right,hat,chefshat,safarihat,beret,data/assets/2026-03-24/visual/vocab/hat.webp,data/assets/2026-03-24/visual/vocab/chefshat.webp,data/assets/2026-03-24/visual/vocab/safarihat.webp,data/assets/2026-03-24/visual/vocab/beret.webp,local_data/vocab_graphics/images/vocab__beret.png
vocab__applaud,applaud,yawn|stare|nurse,C,bottom-left,yawn,stare,applaud,nurse,data/assets/2026-03-24/visual/vocab/yawn.webp,data/assets/2026-03-24/visual/vocab/stare.webp,data/assets/2026-03-24/visual/vocab/applaud.webp,data/assets/2026-03-24/visual/vocab/nurse.webp,local_data/vocab_graphics/images/vocab__applaud.png
vocab__timid,timid,interested|excited|pensive,B,top-right,interested,timid,pensive,excited,data/assets/2026-03-24/visual/vocab/interested.webp,data/assets/2026-03-24/visual/vocab/timid.webp,data/assets/2026-03-24/visual/vocab/pensive.webp,data/assets/2026-03-24/visual/vocab/excited.webp,local_data/vocab_graphics/images/vocab__timid.png
vocab__camp,camp,march|paint|steal,C,bottom-left,paint,march,camp,steal,data/assets/2026-03-24/visual/vocab/paint.webp,data/assets/2026-03-24/visual/vocab/march.webp,data/assets/2026-03-24/visual/vocab/camp.webp,data/assets/2026-03-24/visual/vocab/steal.webp,local_data/vocab_graphics/images/vocab__camp.png
vocab__tumble,tumble,applaud|chisel|scythes,B,top-right,applaud,tumble,chisel,scythes,data/assets/2026-03-24/visual/vocab/applaud.webp,data/assets/2026-03-24/visual/vocab/tumble.webp,data/assets/2026-03-24/visual/vocab/chisel.webp,data/assets/2026-03-24/visual/vocab/scythes.webp,local_data/vocab_graphics/images/vocab__tumble.png
vocab__concentric,concentric,oneabovetheother|smallinside|oneachother,A,top-left,concentric,smallinside,oneachother,oneabovetheother,data/assets/2026-03-24/visual/vocab/concentric.webp,data/assets/2026-03-24/visual/vocab/smallinside.webp,data/assets/2026-03-24/visual/vocab/oneachother.webp,data/assets/2026-03-24/visual/vocab/oneabovetheother.webp,local_data/vocab_graphics/images/vocab__concentric.png
vocab__confectionery,confectionery,confectionerymaterial|tools|food,A,top-left,confectionery,food,tools,confectionerymaterial,data/assets/2026-03-24/visual/vocab/confectionery.webp,data/assets/2026-03-24/visual/vocab/food.webp,data/assets/2026-03-24/visual/vocab/tools.webp,data/assets/2026-03-24/visual/vocab/confectionerymaterial.webp,local_data/vocab_graphics/images/vocab__confectionery.png
vocab__couturier,couturier,marketseller|matador|streetartist,A,top-left,couturier,marketseller,streetartist,matador,data/assets/2026-03-24/visual/vocab/couturier.webp,data/assets/2026-03-24/visual/vocab/marketseller.webp,data/assets/2026-03-24/visual/vocab/streetartist.webp,data/assets/2026-03-24/visual/vocab/matador.webp,local_data/vocab_graphics/images/vocab__couturier.png
vocab__degression,degression,fluctuation|progression|stagnation,B,top-right,progression,degression,stagnation,fluctuation,data/assets/2026-03-24/visual/vocab/progression.webp,data/assets/2026-03-24/visual/vocab/degression.webp,data/assets/2026-03-24/visual/vocab/stagnation.webp,data/assets/2026-03-24/visual/vocab/fluctuation.webp,local_data/vocab_graphics/images/vocab__degression.png
vocab__divan,divan,butterdish|handrail|lintroller,A,top-left,divan,butterdish,lintroller,handrail,data/assets/2026-03-24/visual/vocab/divan.webp,data/assets/2026-03-24/visual/vocab/butterdish.webp,data/assets/2026-03-24/visual/vocab/lintroller.webp,data/assets/2026-03-24/visual/vocab/handrail.webp,local_data/vocab_graphics/images/vocab__divan.png
vocab__wetland,wetland,field|dune|meadow,B,top-right,dune,wetland,meadow,field,data/assets/2026-03-24/visual/vocab/dune.webp,data/assets/2026-03-24/visual/vocab/wetland.webp,data/assets/2026-03-24/visual/vocab/meadow.webp,data/assets/2026-03-24/visual/vocab/field.webp,local_data/vocab_graphics/images/vocab__wetland.png
vocab__baywindow,baywindow,threshhold|drapery|capital,D,bottom-right,capital,threshhold,drapery,baywindow,data/assets/2026-03-24/visual/vocab/capital.webp,data/assets/2026-03-24/visual/vocab/threshhold.webp,data/assets/2026-03-24/visual/vocab/drapery.webp,data/assets/2026-03-24/visual/vocab/baywindow.webp,local_data/vocab_graphics/images/vocab__baywindow.png
vocab__aesthete,aesthete,bloodpressuremeasurement|philatelist|researcher,D,bottom-right,bloodpressuremeasurement,researcher,philatelist,aesthete,data/assets/2026-03-24/visual/vocab/bloodpressuremeasurement.webp,data/assets/2026-03-24/visual/vocab/researcher.webp,data/assets/2026-03-24/visual/vocab/philatelist.webp,data/assets/2026-03-24/visual/vocab/aesthete.webp,local_data/vocab_graphics/images/vocab__aesthete.png
vocab__ecstatic,ecstatic,sleep|sad|tired,B,top-right,sleep,ecstatic,sad,tired,data/assets/2026-03-24/visual/vocab/sleep.webp,data/assets/2026-03-24/visual/vocab/ecstatic.webp,data/assets/2026-03-24/visual/vocab/sad.webp,data/assets/2026-03-24/visual/vocab/tired.webp,local_data/vocab_graphics/images/vocab__ecstatic.png
vocab__rickety,rickety,dusk|vacationhome|skyscraper,C,bottom-left,dusk,vacationhome,rickety,skyscraper,data/assets/2026-03-24/visual/vocab/dusk.webp,data/assets/2026-03-24/visual/vocab/vacationhome.webp,data/assets/2026-03-24/visual/vocab/rickety.webp,data/assets/2026-03-24/visual/vocab/skyscraper.webp,local_data/vocab_graphics/images/vocab__rickety.png
vocab__gourmet,gourmet,archaeological|astronomical|surgical,D,bottom-right,surgical,archaeological,astronomical,gourmet,data/assets/2026-03-24/visual/vocab/surgical.webp,data/assets/2026-03-24/visual/vocab/archaeological.webp,data/assets/2026-03-24/visual/vocab/astronomical.webp,data/assets/2026-03-24/visual/vocab/gourmet.webp,local_data/vocab_graphics/images/vocab__gourmet.png
vocab__gesticulate,gesticulate,listen|pose|hide,A,top-left,gesticulate,pose,listen,hide,data/assets/2026-03-24/visual/vocab/gesticulate.webp,data/assets/2026-03-24/visual/vocab/pose.webp,data/assets/2026-03-24/visual/vocab/listen.webp,data/assets/2026-03-24/visual/vocab/hide.webp,local_data/vocab_graphics/images/vocab__gesticulate.png
vocab__facade,facade,glacier|interior|fog,A,top-left,facade,interior,fog,glacier,data/assets/2026-03-24/visual/vocab/facade.webp,data/assets/2026-03-24/visual/vocab/interior.webp,data/assets/2026-03-24/visual/vocab/fog.webp,data/assets/2026-03-24/visual/vocab/glacier.webp,local_data/vocab_graphics/images/vocab__facade.png
vocab__slope,slope,gap|sky|flat,A,top-left,slope,sky,flat,gap,data/assets/2026-03-24/visual/vocab/slope.webp,data/assets/2026-03-24/visual/vocab/sky.webp,data/assets/2026-03-24/visual/vocab/flat.webp,data/assets/2026-03-24/visual/vocab/gap.webp,local_data/vocab_graphics/images/vocab__slope.png
vocab__habit,habit,divinghelmet|chasuble|mail,A,top-left,habit,divinghelmet,chasuble,mail,data/assets/2026-03-24/visual/vocab/habit.webp,data/assets/2026-03-24/visual/vocab/divinghelmet.webp,data/assets/2026-03-24/visual/vocab/chasuble.webp,data/assets/2026-03-24/visual/vocab/mail.webp,local_data/vocab_graphics/images/vocab__habit.png
vocab__intersection,intersection,monastery|avenue|level,D,bottom-right,avenue,monastery,level,intersection,data/assets/2026-03-24/visual/vocab/avenue.webp,data/assets/2026-03-24/visual/vocab/monastery.webp,data/assets/2026-03-24/visual/vocab/level.webp,data/assets/2026-03-24/visual/vocab/intersection.webp,local_data/vocab_graphics/images/vocab__intersection.png
vocab__irrigation,irrigation,hydroterm|dump|repot,D,bottom-right,dump,repot,hydroterm,irrigation,data/assets/2026-03-24/visual/vocab/dump.webp,data/assets/2026-03-24/visual/vocab/repot.webp,data/assets/2026-03-24/visual/vocab/hydroterm.webp,data/assets/2026-03-24/visual/vocab/irrigation.webp,local_data/vocab_graphics/images/vocab__irrigation.png
vocab__kazoo,kazoo,cabasa|mandolin|rainstick,D,bottom-right,cabasa,mandolin,rainstick,kazoo,data/assets/2026-03-24/visual/vocab/cabasa.webp,data/assets/2026-03-24/visual/vocab/mandolin.webp,data/assets/2026-03-24/visual/vocab/rainstick.webp,data/assets/2026-03-24/visual/vocab/kazoo.webp,local_data/vocab_graphics/images/vocab__kazoo.png
vocab__chat,chat,mountaineering|horseriding|referee,C,bottom-left,referee,horseriding,chat,mountaineering,data/assets/2026-03-24/visual/vocab/referee.webp,data/assets/2026-03-24/visual/vocab/horseriding.webp,data/assets/2026-03-24/visual/vocab/chat.webp,data/assets/2026-03-24/visual/vocab/mountaineering.webp,local_data/vocab_graphics/images/vocab__chat.png
vocab__colony,colony,herd|pack|school,A,top-left,colony,school,herd,pack,data/assets/2026-03-24/visual/vocab/colony.webp,data/assets/2026-03-24/visual/vocab/school.webp,data/assets/2026-03-24/visual/vocab/herd.webp,data/assets/2026-03-24/visual/vocab/pack.webp,local_data/vocab_graphics/images/vocab__colony.png
vocab__preserve,preserve,grilling|heels|peel,A,top-left,preserve,peel,heels,grilling,data/assets/2026-03-24/visual/vocab/preserve.webp,data/assets/2026-03-24/visual/vocab/peel.webp,data/assets/2026-03-24/visual/vocab/heels.webp,data/assets/2026-03-24/visual/vocab/grilling.webp,local_data/vocab_graphics/images/vocab__preserve.png
vocab__awning,awning,lighter|pouch|folder,D,bottom-right,pouch,folder,lighter,awning,data/assets/2026-03-24/visual/vocab/pouch.webp,data/assets/2026-03-24/visual/vocab/folder.webp,data/assets/2026-03-24/visual/vocab/lighter.webp,data/assets/2026-03-24/visual/vocab/awning.webp,local_data/vocab_graphics/images/vocab__awning.png
vocab__mammalogy,mammalogy,entomology|herpetology|ichthyology,B,top-right,entomology,mammalogy,ichthyology,herpetology,data/assets/2026-03-24/visual/vocab/entomology.webp,data/assets/2026-03-24/visual/vocab/mammalogy.webp,data/assets/2026-03-24/visual/vocab/ichthyology.webp,data/assets/2026-03-24/visual/vocab/herpetology.webp,local_data/vocab_graphics/images/vocab__mammalogy.png
vocab__metronome,metronome,electricitymeter|protractor|voltmeter,C,bottom-left,protractor,electricitymeter,metronome,voltmeter,data/assets/2026-03-24/visual/vocab/protractor.webp,data/assets/2026-03-24/visual/vocab/electricitymeter.webp,data/assets/2026-03-24/visual/vocab/metronome.webp,data/assets/2026-03-24/visual/vocab/voltmeter.webp,local_data/vocab_graphics/images/vocab__metronome.png
vocab__paleontologist,paleontologist,labtechnician|surveyor|roadworker,B,top-right,labtechnician,paleontologist,surveyor,roadworker,data/assets/2026-03-24/visual/vocab/labtechnician.webp,data/assets/2026-03-24/visual/vocab/paleontologist.webp,data/assets/2026-03-24/visual/vocab/surveyor.webp,data/assets/2026-03-24/visual/vocab/roadworker.webp,local_data/vocab_graphics/images/vocab__paleontologist.png
vocab__percussion,percussion,accordion|cello|musicstand,B,top-right,musicstand,percussion,cello,accordion,data/assets/2026-03-24/visual/vocab/music_stand.webp,data/assets/2026-03-24/visual/vocab/percussion.webp,data/assets/2026-03-24/visual/vocab/cello.webp,data/assets/2026-03-24/visual/vocab/accordion.webp,local_data/vocab_graphics/images/vocab__percussion.png
vocab__posterior,posterior,frontal|inferior|lateral,B,top-right,lateral,posterior,inferior,frontal,data/assets/2026-03-24/visual/vocab/lateral.webp,data/assets/2026-03-24/visual/vocab/posterior.webp,data/assets/2026-03-24/visual/vocab/inferior.webp,data/assets/2026-03-24/visual/vocab/frontal.webp,local_data/vocab_graphics/images/vocab__posterior.png
vocab__precarious,precarious,cheerful|taiqi|readaloud,A,top-left,precarious,readaloud,taiqi,cheerful,data/assets/2026-03-24/visual/vocab/precarious.webp,data/assets/2026-03-24/visual/vocab/readaloud.webp,data/assets/2026-03-24/visual/vocab/taiqi.webp,data/assets/2026-03-24/visual/vocab/cheerful.webp,local_data/vocab_graphics/images/vocab__precarious.png
vocab__arbor,arbor,castle|barn|tipi,A,top-left,arbor,barn,tipi,castle,data/assets/2026-03-24/visual/vocab/arbor.webp,data/assets/2026-03-24/visual/vocab/barn.webp,data/assets/2026-03-24/visual/vocab/tipi.webp,data/assets/2026-03-24/visual/vocab/castle.webp,local_data/vocab_graphics/images/vocab__arbor.png
vocab__resuscitation,resuscitation,breathing|pipetting|measurevolts,C,bottom-left,measurevolts,pipetting,resuscitation,breathing,data/assets/2026-03-24/visual/vocab/measurevolts.webp,data/assets/2026-03-24/visual/vocab/pipetting.webp,data/assets/2026-03-24/visual/vocab/resuscitation.webp,data/assets/2026-03-24/visual/vocab/breathing.webp,local_data/vocab_graphics/images/vocab__resuscitation.png
