task,item_uid,answer,response_alternatives,prompt_phrase,full_prompt,trial_type,age_band,category,hardness
synthetic-vocab,synthetic_vocab__saxophone,saxophone,"clarinet,clipper,shawl",saxophone,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: saxophone.",test,9,object,4
synthetic-vocab,synthetic_vocab__mascara,mascara,"eyedropper,sifter,anklet",mascara,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: mascara.",test,9,object,4
synthetic-vocab,synthetic_vocab__mannequin,mannequin,"figurine,bassoon,leek",mannequin,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: mannequin.",test,9,object,4
synthetic-vocab,synthetic_vocab__tripod,tripod,"chaps,hobbyhorse,hovercraft",tripod,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: tripod.",test,9,object,4
synthetic-vocab,synthetic_vocab__scrabble,scrabble,"sequin,pedal,antelope",scrabble,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: scrabble.",test,9,object,4
synthetic-vocab,synthetic_vocab__speedometer,speedometer,"stopwatch,bookmark,alpaca",speedometer,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: speedometer.",test,9,object,4
synthetic-vocab,synthetic_vocab__gong,gong,"bongo,bracket,deodorant",gong,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: gong.",test,10,object,4
synthetic-vocab,synthetic_vocab__plunger,plunger,"mallet,folder,loveseat",plunger,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: plunger.",test,10,object,4
synthetic-vocab,synthetic_vocab__sidecar,sidecar,"snowmobile,fossil,bolt",sidecar,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: sidecar.",test,10,object,4
synthetic-vocab,synthetic_vocab__ladle,ladle,"kettle,lumber,chessboard",ladle,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: ladle.",test,10,object,4
synthetic-vocab,synthetic_vocab__pulley,pulley,"gauge,veil,grapefruit",pulley,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: pulley.",test,10,object,4
synthetic-vocab,synthetic_vocab__squeegee,squeegee,"sweeper,grater,projector",squeegee,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: squeegee.",test,10,object,4
synthetic-vocab,synthetic_vocab__binder,binder,"copier,flute,corkscrew",binder,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: binder.",test,10,object,4
synthetic-vocab,synthetic_vocab__anvil,anvil,"chisel,cornucopia,turban",anvil,"You will see four pictures labeled A, B, C, and D. Choose the picture that best matches the word: anvil.",test,11,object,4
